PRIMARY_KEY,Employer_category,employee_count,Pay,Economic_sector,TYPE_OF_CONTRACT,WORK_CONDITION,labor_force_status,WORKING_HOURS,work_description,JOB_DEP
73869,"ct_9","tr_4",73659,"GZ","CDI","C","O",1578,"374d","91"
73872,"ct_9","tr_6",14534,"HZ","CDI","C","O",596,"546d","93"
73873,"ct_9","tr_6",24650,"MA","CDI","C","O",1532,"462e","75"
73876,"ct_9","tr_1",22591,"GZ","CDI","C","O",1712,"543f","75"
73877,"ct_9","tr_3",46758,"NZ","CDI","C","O",1771,"463d","60"
73879,"ct_9","tr_1",66415,"LZ","CDI","C","O",1813,"373d","75"
73880,"ct_9","tr_2",13130,"NZ","CDI","C","O",1162,"631a","78"
73881,"ct_9","tr_5",43674,"JC","CDI","C","O",1820,"388d","92"
73904,"ct_8","tr_2",25825,"PZ","CDI","C","O",1900,"421b","93"
73909,"ct_9","tr_5",17931,"GZ","APP","C","A",1795,"479a","93"
73910,"ct_9","tr_6",62387,"KZ","CDI","C","O",1820,"376c","75"
73919,"ct_6","tr_1",26057,"MA","CDI","C","O",1362,"382b","75"
73926,"ct_8","tr_3",40583,"PZ","CDI","C","O",2304,"341a","75"
73927,"ct_9","tr_6",31660,"JB","CDI","C","A",1771,"372d","75"
73930,"ct_9","tr_3",20571,"NZ","CDI","P","O",2188,"684a","92"
73931,"ct_9","tr_3",7532,"RZ","CDD","N","O",650,"637c","75"
73934,"ct_8","tr_1",25563,"NZ","CDI","P","O",2090,"564a","75"
73937,"ct_1","tr_6",32975,"OZ","AUT","C","O",1820,"333e","75"
73941,"ct_9","tr_1",12660,"GZ","CDI","P","O",813,"554e","75"
73948,"ct_9","tr_6",51999,"CI","CDI","C","O",1820,"373b","78"
73955,"ct_9","tr_6",68285,"HZ","CDI","C","O",1972,"380a","93"
73957,"ct_9","tr_1",55694,"KZ","CDI","C","O",1568,"373c","75"
73958,"ct_9","tr_6",50974,"KZ","CDI","C","O",1772,"371a","92"
73959,"ct_9","tr_4",25901,"JA","CDD","C","O",1065,"388a","31"
73963,"ct_9","tr_3",64403,"GZ","CDI","C","O",1760,"375b","75"
73973,"ct_1","tr_6",55486,"OZ","CDI","C","O",1820,"333a","75"
73983,NA,NA,1959,"SZ","CDI","C","O",185,"435b","75"
73986,"ct_5","tr_6",59457,"MB","CDI","C","O",2080,"342g","91"
73988,"ct_9","tr_6",44151,"JA","CDI","C","O",1815,"425a","75"
73990,"ct_9","tr_6",79445,"DZ","CDI","C","O",1806,"387a","93"
73994,"ct_9","tr_1",66442,"KZ","CDI","C","O",1491,"380a","91"
73997,"ct_9","tr_4",49141,"PZ","CDI","C","O",1820,"341a","75"
73999,"ct_9","tr_2",34023,"JC","CDI","C","O",1585,"388d","75"
74000,"ct_9","tr_6",46601,"CE","CDI","C","O",1820,"374b","92"
74002,"ct_8","tr_4",48716,"PZ","CDI","P","O",1957,"341a","92"
74006,"ct_9","tr_6",44722,"KZ","CDI","C","O",1127,"376b","75"
74007,"ct_3","tr_6",51011,"QA","CDI","C","O",1830,"344a","75"
74014,"ct_9","tr_1",30491,"MA","CDI","C","O",1771,"372c","92"
74024,"ct_9","tr_5",43745,"GZ","CDI","C","O",1797,"464a","75"
74037,"ct_8","tr_5",28810,"JC","CDI","C","O",1820,"388c","75"
74040,"ct_8","tr_2",36155,"MA","CDI","P","O",1310,"382b","92"
74042,"ct_9","tr_6",44529,"DZ","CDI","C","O",1817,"387e","78"
74046,"ct_9","tr_2",1337,"NZ","CDI","P","O",142,"684a","94"
74053,"ct_1","tr_6",47065,"RZ","AUT","C","O",1819,"523c","75"
74054,"ct_5","tr_6",30097,"MB","CDI","C","O",2080,"342g","91"
74055,"ct_9","tr_1",20382,"MA","CDI","C","O",1940,"462d","75"
74057,"ct_9","tr_5",48128,"GZ","CDI","C","O",1820,"388d","92"
74058,"ct_3","tr_6",54712,"QA","AUT","C","O",1820,"344a","75"
74059,"ct_9","tr_6",21208,"MB","CDI","C","O",1772,"461d","93"
74060,"ct_9","tr_6",57889,"KZ","CDI","C","O",1820,"376a","75"
74064,"ct_9","tr_0",9656,"MA","CDI","C","O",777,"546c","92"
74065,"ct_9","tr_0",7892,"IZ","CDI","C","O",859,"636d","92"
74069,"ct_9","tr_4",31358,"HZ","CDI","C","O",1820,"333c","94"
74075,"ct_9","tr_4",51699,"CM","CDI","C","O",1781,"387d","91"
74077,"ct_9","tr_6",23211,"HZ","CDI","C","O",1451,"543c","2A"
74078,"ct_9","tr_0",22986,"NZ","CDI","C","O",911,"466a","78"
74084,"ct_9","tr_5",26533,"LZ","CDI","C","O",1692,"461e","75"
74088,"ct_9","tr_6",50460,"MA","CDI","C","O",648,"388a","75"
74089,"ct_9","tr_1",33363,"JA","AUT","C","X",1820,"374b","75"
74091,"ct_9","tr_0",14685,"GZ","CDI","C","O",1171,"554e","75"
74104,"ct_2","tr_3",10110,"PZ","CDI","P","O",411,"451g","80"
74105,"ct_9","tr_1",9072,"NZ","CDI","C","O",394,"564a","94"
74115,"ct_9","tr_6",57460,"KZ","CDD","C","O",1820,"467a","75"
74130,"ct_1","tr_6",21850,"PZ","AUT","C","O",1820,"523b","75"
74139,"ct_9","tr_6",47336,"MC","CDI","C","O",1918,"388c","92"
74140,"ct_2","tr_5",34388,"RZ","CDD","C","O",1820,"333f","75"
74148,"ct_9","tr_1",24871,"JA","CDI","C","O",1841,"476a","92"
74150,"ct_9","tr_6",25828,"HZ","CDI","C","O",1820,"546b","75"
74151,"ct_9","tr_6",66196,"JC","CDI","C","O",3000,"371a","92"
74155,"ct_9","tr_4",3084,"IZ","CDI","C","O",624,"468a","75"
74164,"ct_9","tr_4",48391,"NZ","CDI","C","O",1287,"388a","75"
74173,"ct_9","tr_2",19087,"MC","CDI","C","O",2007,"476a","75"
74177,"ct_9","tr_5",67993,"JC","CDI","C","O",1771,"388c","92"
74181,"ct_9","tr_6",34491,"JA","CDI","C","O",1823,"461d","92"
74184,"ct_9","tr_6",42815,"KZ","CDI","C","O",1820,"388b","94"
74188,"ct_9","tr_3",28090,"GZ","CDI","C","O",1806,"373a","75"
74194,"ct_3","tr_6",44869,"QA","CDI","C","O",1795,"344a","92"
74196,"ct_9","tr_5",28510,"MA","CDI","C","O",1820,"374d","92"
74203,"ct_9","tr_6",53552,"JC","CDI","C","O",1820,"388a","75"
74208,NA,NA,3647,"IZ","TTP","C","O",211,"468a","95"
74210,"ct_9","tr_2",33251,"GZ","CDI","C","O",1406,"478a","77"
74214,"ct_9","tr_1",28979,"MA","CDI","C","O",1126,"543g","92"
74215,"ct_9","tr_2",10089,"MA","CDD","C","O",544,"387b","75"
74218,"ct_9","tr_6",46002,"MA","CDI","C","O",1449,"372b","92"
74224,"ct_8","tr_5",62964,"QB","CDI","P","O",3000,"434a","91"
74227,"ct_9","tr_3",21029,"HZ","CDI","C","O",2071,"641a","94"
74228,"ct_2","tr_3",27131,"PZ","AUT","C","O",1857,"421b","75"
74231,"ct_8","tr_3",44405,"QB","CDI","C","O",1787,"373d","93"
74232,"ct_9","tr_2",42537,"KZ","CDI","C","O",1820,"376c","75"
74239,"ct_9","tr_6",45001,"MA","CDI","C","O",1782,"372b","92"
74240,"ct_9","tr_6",50342,"CF","CDI","C","O",1820,"373d","92"
74243,"ct_9","tr_1",21170,"FZ","CDI","C","O",1793,"632a","93"
74253,"ct_7","tr_1",7103,"TZ","CDI","N","O",942,"563a","75"
74265,"ct_9","tr_6",33264,"KZ","CDI","C","O",1820,"467a","75"
74266,"ct_2","tr_3",11786,"PZ","CDI","P","O",411,"451g","80"
74267,"ct_8","tr_4",8971,"PZ","CDI","P","O",934,"422e","75"
74268,"ct_9","tr_6",60601,"NZ","CDD","C","O",1375,"373c","75"
74269,"ct_9","tr_1",19750,"GZ","CDI","C","O",1941,"554f","75"
74270,"ct_9","tr_6",47850,"KZ","CDI","C","O",1820,"372b","75"
74274,"ct_9","tr_6",28722,"HZ","CDD","C","O",1799,"676d","93"
74279,"ct_9","tr_4",44382,"MA","CDI","C","O",2159,"372a","75"
74282,"ct_9","tr_5",35334,"GZ","CDI","C","O",1886,"554f","75"
74283,"ct_9","tr_4",1245,"NZ","CDI","P","O",930,"561f","93"
74284,"ct_9","tr_2",52194,"MA","CDI","C","O",1440,"374c","92"
74287,"ct_9","tr_2",17180,"SZ","CDI","C","O",1752,"562a","75"
74295,"ct_9","tr_4",20957,"JA","CDI","C","O",1729,"462e","75"
74297,"ct_9","tr_3",16296,"GZ","CDI","C","O",1679,"462b","76"
74301,"ct_8","tr_4",17140,"QB","CDI","C","O",1820,"525d","76"
74302,"ct_9","tr_5",38161,"CE","CDI","C","O",1872,"477d","76"
74309,"ct_3","tr_6",1816,"QA","CDD","C","O",179,"523d","76"
74320,"ct_2","tr_5",11876,"OZ","APP","C","A",1819,"621f","76"
74322,"ct_9","tr_6",41717,"CG","CDI","C","O",1827,"475a","80"
74324,"ct_9","tr_6",28653,"CL","CDI","C","O",1930,"673c","76"
74326,"ct_9","tr_5",19089,"HZ","CDI","C","O",1855,"521a","76"
74336,"ct_8","tr_3",33839,"PZ","CDI","C","O",1904,"341a","76"
74345,"ct_9","tr_3",15982,"HZ","CDI","C","O",451,"641b","76"
74349,"ct_9","tr_1",38509,"GZ","CDI","C","O",1820,"543f","76"
74350,"ct_9","tr_3",21635,"HZ","CDI","C","O",1743,"676c","76"
74362,"ct_9","tr_3",27819,"GZ","CDI","C","O",1646,"462e","76"
74374,"ct_9","tr_1",34309,"KZ","CDI","C","O",1505,"467c","76"
74384,"ct_9","tr_1",7474,"HZ","CDI","C","O",696,"643a","76"
74396,"ct_9","tr_6",23466,"QB","CDI","C","O",1561,"431a","75"
74403,"ct_9","tr_1",11960,"FZ","CDI","C","O",1023,"633a","76"
74410,"ct_1","tr_6",11831,"PZ","CDI","C","O",1213,"523b","76"
74420,"ct_9","tr_5",8583,"QA","CDI","P","O",910,"526a","76"
74423,"ct_9","tr_6",39869,"CF","CDI","C","O",1744,"625c","27"
74424,"ct_3","tr_6",13409,"QA","CDD","C","O",1309,"523d","76"
74429,"ct_9","tr_1",25372,"CH","CDI","C","O",1767,"624d","76"
74445,"ct_9","tr_2",15850,"PZ","CDI","C","O",1443,"423b","76"
74446,"ct_8","tr_4",12364,"QB","CDI","P","O",1151,"311d","76"
74447,"ct_9","tr_1",34435,"NZ","TTP","N","O",1622,"681a","94"
74451,"ct_5","tr_6",29570,"LZ","CDI","C","O",1820,"564a","76"
74453,"ct_9","tr_1",17854,"IZ","TOA","C","O",884,"561d","76"
74455,"ct_9","tr_1",21370,"MA","CDI","C","O",1468,"462a","76"
74468,"ct_9","tr_6",31509,"CC","CDI","C","O",1968,"543g","27"
74469,"ct_8","tr_6",24939,"QA","CDI","C","O",1847,"432d","27"
74472,"ct_6","tr_1",15545,"NZ","CDI","C","O",1820,"631a","76"
74477,"ct_8","tr_4",24892,"PZ","CDI","C","O",1820,"341a","76"
74479,"ct_2","tr_6",20471,"OZ","AUT","C","O",1820,"621f","76"
74480,"ct_9","tr_5",26017,"FZ","CDI","C","O",1749,"621a","76"
74491,"ct_9","tr_2",24353,"MA","CDI","P","O",1572,"461d","76"
74505,"ct_9","tr_3",6061,"IZ","CDI","P","O",795,"561c","76"
74512,"ct_9","tr_5",8295,"NZ","CDI","P","O",942,"684a","76"
74517,NA,NA,2582,"OZ","AUT","C","O",228,"621f","76"
74525,"ct_9","tr_5",23496,"JC","CDI","C","O",1820,"388c","76"
74536,"ct_9","tr_1",11664,"NZ","TTP","C","O",998,"676c","76"
74540,"ct_9","tr_3",20140,"IZ","CDI","C","O",1557,"488a","27"
74543,"ct_2","tr_6",21029,"OZ","AUT","C","O",1820,"523c","76"
74547,"ct_8","tr_4",18950,"QB","CDI","C","O",1820,"526d","76"
74548,"ct_9","tr_1",12081,"MA","CDI","C","O",1820,"542a","76"
74550,"ct_8","tr_1",26610,"PZ","CDI","C","O",1820,"421b","76"
74558,"ct_9","tr_5",41803,"JA","CDI","C","O",452,"352a","76"
74560,"ct_9","tr_3",22620,"CA","CDI","C","O",1131,"628b","76"
74571,"ct_9","tr_1",23350,"FZ","CDI","C","O",1799,"632d","76"
74572,"ct_9","tr_5",21490,"CG","CDI","C","O",1660,"674d","80"
74594,"ct_9","tr_5",24335,"JB","CDI","C","O",1820,"388e","76"
74601,"ct_9","tr_5",48539,"FZ","CDI","C","O",1771,"382c","76"
74606,"ct_9","tr_1",21216,"MC","CDI","C","O",1692,"433a","76"
74607,"ct_9","tr_6",43323,"GZ","CDI","C","O",1820,"374c","38"
74623,"ct_9","tr_6",9211,"EZ","CDI","C","O",879,"628e","34"
74625,"ct_9","tr_1",5084,"NZ","TTP","N","O",597,"641a","76"
74633,"ct_9","tr_4",13699,"FZ","CDI","P","O",1772,"676c","76"
74634,"ct_9","tr_3",11937,"FZ","CDI","C","O",976,"632a","60"
74636,"ct_9","tr_5",32682,"KZ","CDI","C","O",1757,"545c","76"
74640,"ct_9","tr_3",34689,"NZ","CDI","C","O",1564,"433a","76"
74654,"ct_2","tr_3",26976,"PZ","AUT","C","O",1820,"421b","76"
74656,"ct_9","tr_5",19087,"CL","CDI","C","O",1598,"628g","76"
74658,"ct_9","tr_2",6089,"GZ","CDI","C","O",1470,"462e","76"
74662,"ct_9","tr_1",10832,"GZ","CDI","C","O",1282,"554b","76"
74663,"ct_8","tr_4",20215,"QB","CDI","C","O",1737,"434d","76"
74669,"ct_9","tr_6",36559,"CK","CDI","C","O",1418,"373b","76"
74673,"ct_9","tr_0",5743,"GZ","CDI","C","O",713,"553c","76"
74674,"ct_8","tr_3",36076,"PZ","CDI","C","O",1901,"422b","76"
74677,"ct_8","tr_6",29736,"QA","CDI","C","O",1735,"431f","76"
74681,"ct_9","tr_1",4383,"JA","APP","C","A",500,"478d","76"
74686,"ct_9","tr_5",24208,"CJ","CDI","C","O",1559,"463b","76"
74695,"ct_8","tr_2",4201,"QB","AUT","P","X",577,"675b","76"
74709,"ct_9","tr_3",11659,"NZ","CDI","C","O",873,"534a","76"
74713,"ct_9","tr_6",32317,"QA","CDI","C","O",2526,"431f","76"
74716,"ct_8","tr_3",10605,"QB","CDI","C","O",722,"525d","76"
74717,"ct_9","tr_5",24699,"CM","CDI","C","O",1752,"484b","76"
74720,"ct_9","tr_4",16057,"NZ","CDI","C","O",1646,"684a","76"
74723,"ct_8","tr_4",14820,"QB","CDI","C","O",1267,"525d","76"
74739,"ct_9","tr_6",18062,"QA","CDI","P","O",1367,"431f","76"
74740,NA,NA,1135,"QB","CDI","P","O",140,"525d","76"
74743,"ct_9","tr_3",26320,"GZ","CDI","C","O",1988,"551a","76"
74750,"ct_9","tr_3",31278,"MA","CDI","C","O",1797,"461d","76"
74754,"ct_3","tr_5",13083,"QA","CDI","P","O",1365,"525d","76"
74765,"ct_9","tr_5",25574,"CG","CDI","C","O",1762,"674a","76"
74772,"ct_4","tr_3",30010,"PZ","CDI","C","O",1820,"524c","76"
74775,"ct_9","tr_6",22259,"KZ","CDI","C","O",1820,"467b","76"
74776,"ct_9","tr_3",13945,"RZ","CDI","P","O",1114,"461b","76"
74782,"ct_9","tr_2",13672,"CA","CDI","P","O",1347,"554a","76"
74790,"ct_9","tr_2",22196,"HZ","CDI","C","O",1830,"466b","76"
74795,"ct_9","tr_2",7590,"NZ","TTP","N","O",460,"674d","76"
74802,"ct_9","tr_5",22898,"CG","CDI","C","O",1679,"676c","76"
74806,"ct_9","tr_5",18704,"HZ","CDI","C","O",1855,"521a","76"
74817,"ct_9","tr_6",34834,"KZ","CDI","C","O",1906,"467a","75"
74839,"ct_9","tr_0",12212,"CA","CDI","C","O",1667,"554a","76"
74843,NA,NA,1608,"MC","CDI","C","O",182,"553c","92"
74849,"ct_9","tr_3",7814,"MC","CDD","C","O",461,"479b","92"
74851,"ct_9","tr_1",40635,"CL","CDI","C","O",1822,"483a","76"
74855,"ct_9","tr_5",27096,"CE","CDI","C","O",1629,"625c","76"
74859,"ct_9","tr_1",5362,"JC","CDD","P","O",368,"463a","92"
74860,"ct_8","tr_4",6463,"QB","CDD","C","O",560,"525d","76"
74866,"ct_9","tr_6",50584,"CD","CDI","C","O",1737,"625c","76"
74875,"ct_8","tr_3",27352,"PZ","CDI","C","O",1820,"341a","27"
74877,"ct_9","tr_3",15716,"GZ","CDI","C","O",1477,"462b","76"
74880,"ct_9","tr_4",15558,"QB","CDI","C","O",1190,"526a","76"
74885,"ct_9","tr_1",15415,"IZ","CDI","C","O",1179,"377a","76"
74895,"ct_6","tr_1",16513,"MA","CDI","P","O",1293,"542a","76"
74909,"ct_9","tr_1",17491,"NZ","TTP","C","O",1648,"676e","76"
74913,"ct_9","tr_2",26867,"KZ","CDI","P","O",1192,"433a","76"
74915,"ct_9","tr_1",8968,"RZ","APP","C","A",1820,"691b","27"
74922,"ct_9","tr_6",30253,"CA","CDI","C","O",1950,"486d","76"
74924,"ct_8","tr_3",22520,"PZ","CDI","C","O",1820,"421b","76"
74925,"ct_8","tr_3",15184,"QB","CDI","P","O",1608,"563b","76"
74926,"ct_9","tr_3",25802,"GZ","CDI","C","O",1498,"554g","76"
74929,"ct_9","tr_6",32739,"HZ","CDI","C","O",1716,"461e","76"
74933,"ct_9","tr_1",31374,"GZ","CDI","C","O",1505,"477c","76"
74943,"ct_9","tr_1",28830,"KZ","CDI","C","O",1820,"467a","76"
74945,"ct_9","tr_6",25317,"CL","CDI","C","O",1568,"674d","76"
74955,"ct_9","tr_6",13079,"CA","CDI","P","O",1034,"674c","76"
74958,"ct_9","tr_4",14048,"NZ","CDI","C","O",1704,"691e","27"
74962,"ct_2","tr_6",16980,"OZ","CDI","C","O",1797,"524c","76"
74969,"ct_9","tr_5",29803,"GZ","CDI","C","O",2131,"462b","76"
74972,"ct_9","tr_3",24439,"CB","CDI","C","O",2119,"675a","76"
74975,"ct_9","tr_3",12857,"HZ","CDI","C","O",1572,"643a","76"
74988,"ct_9","tr_2",18627,"GZ","CDI","C","O",1630,"653a","76"
74989,"ct_9","tr_2",22490,"CC","CDI","C","O",1943,"643a","80"
74993,"ct_2","tr_3",6715,"QB","AUT","P","O",839,"563b","76"
74996,NA,NA,9214,"GZ","CDI","C","O",924,"684a","76"
74998,"ct_9","tr_5",38949,"CM","CDI","C","O",1976,"473b","76"
75000,"ct_9","tr_1",16306,"FZ","CDI","C","O",1637,"633a","76"
75001,"ct_9","tr_5",55561,"HZ","CDI","C","O",1691,"374d","27"
75006,"ct_9","tr_3",15183,"IZ","CDI","C","O",1321,"636d","76"
75013,"ct_3","tr_5",23196,"QB","CDI","C","O",1819,"433d","76"
75014,"ct_9","tr_1",26136,"QB","CDI","P","O",1582,"543h","76"
75016,"ct_9","tr_2",12324,"GZ","CDI","C","O",1424,"553c","76"
75023,"ct_9","tr_2",6330,"GZ","APP","C","A",1547,"682a","76"
75028,"ct_9","tr_5",20521,"FZ","CDI","C","O",1626,"671c","76"
75040,"ct_9","tr_5",13520,"RZ","CDI","C","O",1016,"564b","76"
75043,"ct_9","tr_5",36267,"CJ","CDI","C","O",1607,"383a","76"
75044,"ct_9","tr_6",14091,"DZ","APP","C","A",1771,"461e","76"
75050,"ct_9","tr_1",20116,"GZ","CDI","C","O",1576,"554b","78"
75051,"ct_8","tr_3",18165,"PZ","CDI","C","O",1820,"422c","76"
75057,"ct_3","tr_6",20024,"QA","AUT","C","O",1819,"523d","76"
75064,"ct_8","tr_4",13701,"QB","CDI","C","O",853,"434d","76"
75072,"ct_9","tr_1",37438,"FZ","CDI","C","O",1646,"463e","76"
75073,"ct_9","tr_5",23929,"HZ","CDI","C","O",1896,"634c","76"
75074,"ct_9","tr_3",1605,"NZ","CDI","C","O",308,"684a","76"
75076,"ct_9","tr_1",15371,"FZ","CDI","C","O",1543,"681b","76"
75078,"ct_9","tr_5",19966,"KZ","CDI","P","O",1456,"461f","76"
75087,"ct_9","tr_5",30415,"HZ","CDI","C","O",1722,"474b","76"
75106,"ct_9","tr_6",12137,"GZ","CDI","C","O",719,"554a","76"
75110,"ct_9","tr_0",13426,"QB","CDI","P","O",1514,"563b","76"
75116,"ct_1","tr_5",29356,"OZ","CDI","P","O",1593,"461f","76"
75127,"ct_9","tr_0",5801,"CM","APP","C","A",1277,"676e","76"
75128,"ct_9","tr_1",4046,"FZ","CDI","P","O",520,"632a","76"
75129,"ct_9","tr_6",52364,"CM","CDI","C","O",1924,"373b","78"
75135,"ct_9","tr_6",27217,"CG","CDI","C","O",1540,"486e","76"
75151,"ct_9","tr_1",8828,"GZ","CDD","C","O",923,"554e","76"
75155,"ct_9","tr_1",5748,"GZ","CDI","P","O",226,"554e","76"
75158,"ct_8","tr_5",5634,"QB","CDI","P","O",732,"563b","76"
75167,"ct_3","tr_6",31092,"QA","CDI","C","O",1819,"451h","76"
75168,"ct_9","tr_6",24440,"QA","CDI","P","O",1615,"526a","76"
75169,"ct_9","tr_3",29624,"MA","CDI","C","O",1820,"372a","92"
75179,NA,NA,1589,"QB","CDI","C","O",183,"563a","76"
75181,"ct_9","tr_6",18978,"GZ","APP","C","A",1610,"461f","75"
75182,"ct_9","tr_1",8397,"NZ","CDI","C","O",1088,"534a","76"
75189,"ct_9","tr_3",34093,"GZ","CDI","C","O",1647,"463e","76"
75190,"ct_4","tr_4",56927,"PZ","CDI","C","O",1771,"422c","78"
75198,"ct_9","tr_3",18560,"CG","CDI","C","O",1772,"625c","80"
75204,"ct_3","tr_6",15931,"QA","CDI","P","O",1365,"525d","76"
75206,"ct_9","tr_6",19276,"CL","CDI","C","O",1618,"674a","60"
75224,"ct_8","tr_4",34666,"PZ","CDI","C","O",1820,"341a","76"
75234,"ct_1","tr_5",22300,"OZ","AUT","C","O",1820,"523b","76"
75238,"ct_9","tr_1",14270,"GZ","CDI","C","O",1617,"554h","76"
75241,"ct_9","tr_3",26300,"FZ","CDI","C","O",1829,"633d","76"
75243,"ct_9","tr_4",9954,"IZ","CDI","C","O",971,"561d","76"
75244,"ct_7","tr_0",3314,"QB","CDI","N","O",848,"563a","76"
75253,"ct_9","tr_4",26879,"GZ","CDI","C","O",1820,"461d","76"
75264,"ct_9","tr_1",18579,"GZ","CDI","C","O",1748,"462b","76"
75271,"ct_9","tr_2",15700,"CM","CDI","C","O",962,"543b","76"
75279,"ct_2","tr_1",21860,"PZ","AUT","C","O",1820,"421b","76"
75293,"ct_9","tr_1",16414,"FZ","CDI","C","O",1666,"632a","76"
75298,"ct_8","tr_2",22759,"QB","CDI","C","O",1820,"526d","76"
75302,"ct_9","tr_4",30443,"GZ","CDI","C","O",1740,"374d","67"
75303,"ct_8","tr_2",16365,"PZ","CDI","P","O",1416,"423b","76"
75306,"ct_2","tr_6",22725,"OZ","AUT","C","O",1785,"533a","76"
75314,"ct_9","tr_1",6425,"HZ","CDI","P","O",879,"643a","76"
75323,"ct_9","tr_6",34676,"CD","CDI","C","O",1737,"625c","76"
75324,NA,NA,1639,"GZ","CDI","P","O",139,"554e","76"
75328,"ct_8","tr_2",45603,"QA","CDI","P","O",1525,"344b","76"
75337,"ct_9","tr_5",20181,"HZ","CDI","C","O",1759,"641a","76"
75355,"ct_2","tr_6",8945,"QB","CDI","P","O",755,"525d","76"
75357,"ct_9","tr_5",16315,"HZ","CDI","C","O",1890,"652a","76"
75359,"ct_8","tr_2",5512,"QB","AUT","P","X",573,"563b","76"
75361,"ct_9","tr_2",28408,"BZ","CDI","C","O",1979,"652a","76"
75364,"ct_8","tr_2",25262,"QB","CDI","C","O",1575,"435a","76"
75368,"ct_8","tr_6",18078,"OZ","CDI","C","O",2044,"543b","76"
75369,"ct_9","tr_5",25717,"CG","CDI","C","O",1869,"543g","76"
75380,"ct_3","tr_6",24610,"QA","AUT","C","O",1820,"526a","76"
75384,NA,"tr_1",4954,"NZ","CDI","C","O",676,"684a","27"
75385,"ct_9","tr_3",35556,"GZ","CDI","C","O",1603,"463e","76"
75391,NA,NA,5054,"QB","AUT","C","O",519,"563b","76"
75401,"ct_9","tr_1",5429,"NZ","CDD","P","O",428,"541b","76"
75407,"ct_8","tr_5",22459,"OZ","CDI","P","O",1407,"541b","76"
75408,"ct_9","tr_1",16346,"MA","CDI","P","O",1604,"461b","76"
75411,"ct_8","tr_3",22938,"PZ","CDI","C","O",1820,"421b","76"
75414,"ct_8","tr_1",18114,"GZ","CDI","C","O",341,"637a","76"
75419,"ct_9","tr_6",20237,"CG","CDI","C","O",1548,"626b","76"
75422,"ct_9","tr_3",27869,"GZ","CDI","C","O",1810,"542a","76"
75436,"ct_9","tr_3",14004,"IZ","CDI","C","O",1581,"561c","76"
75437,"ct_2","tr_6",26023,"QB","AUT","C","O",2529,"563a","76"
75439,"ct_9","tr_1",15968,"CA","CDI","C","O",1760,"554a","76"
75441,"ct_9","tr_4",38723,"FZ","CDI","C","O",1820,"461b","92"
75452,"ct_9","tr_1",13701,"CE","CDI","C","O",983,"543f","80"
75456,"ct_9","tr_2",21744,"GZ","CDI","C","O",1795,"653a","76"
75457,"ct_5","tr_6",23618,"LZ","CDI","P","O",1456,"461e","76"
75461,"ct_5","tr_6",22926,"LZ","CDI","C","O",1792,"472c","76"
75462,"ct_2","tr_2",23003,"PZ","AUT","C","O",1820,"421b","76"
75464,"ct_9","tr_1",37412,"KZ","CDI","C","O",1820,"467a","76"
75474,"ct_9","tr_4",30449,"GZ","CDI","C","O",1589,"462e","76"
75478,"ct_9","tr_2",3967,"NZ","TTP","C","O",364,"674d","76"
75481,"ct_9","tr_2",2278,"KZ","AUT","C","X",420,"467b","76"
75484,"ct_9","tr_5",9514,"CH","CDI","C","O",1370,"673c","80"
75490,"ct_9","tr_3",28062,"HZ","CDI","C","O",1775,"466c","76"
75494,"ct_9","tr_1",19403,"NZ","TTP","N","O",1336,"671c","13"
75501,"ct_9","tr_6",25807,"HZ","CDI","C","O",1472,"641b","76"
75503,"ct_9","tr_3",16500,"EZ","AUT","C","X",1638,"477d","76"
75516,"ct_9","tr_3",25938,"FZ","CDI","C","O",1607,"632b","76"
75524,"ct_9","tr_5",22903,"CK","CDI","C","O",1358,"543g","80"
75530,"ct_9","tr_6",55952,"CE","CDI","C","O",1828,"385a","76"
75531,"ct_9","tr_4",32793,"CM","CDI","C","O",1803,"624d","76"
75532,"ct_9","tr_1",28685,"KZ","CDI","C","O",1820,"467a","76"
75540,"ct_7","tr_1",28951,"QB","CDI","N","O",3000,"563a","76"
75547,"ct_9","tr_6",46188,"DZ","CDI","C","O",2016,"485a","76"
75548,"ct_8","tr_2",8115,"QB","AUT","P","X",1207,"564b","76"
75549,"ct_9","tr_2",21444,"GZ","CDI","C","O",1682,"462d","76"
75554,"ct_9","tr_5",33911,"CG","CDI","C","O",1782,"484a","76"
75569,"ct_9","tr_6",15256,"CB","CDI","C","O",1078,"675a","76"
75574,"ct_9","tr_2",21464,"CK","CDI","C","O",1736,"385c","76"
75577,"ct_9","tr_1",31435,"SZ","CDI","C","O",1966,"374a","76"
75580,"ct_9","tr_6",28553,"QA","CDI","P","O",1463,"431f","76"
75586,"ct_9","tr_5",17376,"HZ","CDI","C","O",1190,"655a","59"
75588,"ct_9","tr_6",25287,"HZ","CDI","C","O",1806,"461f","76"
75589,"ct_9","tr_1",26478,"IZ","CDI","C","O",1627,"488b","76"
75597,"ct_9","tr_2",17273,"CM","CDI","C","O",987,"632c","76"
75601,"ct_2","tr_5",53636,"OZ","CDI","C","O",1994,"344b","76"
75603,"ct_9","tr_4",17696,"QB","CDI","P","O",1432,"526a","76"
75614,"ct_9","tr_6",19425,"QA","CDI","C","O",1849,"526a","76"
75615,"ct_2","tr_3",11909,"OZ","AUT","P","O",1088,"523c","76"
75622,"ct_1","tr_3",41313,"OZ","CDI","C","O",1820,"461f","60"
